interaction_id,channel,transcript,expected_category,expected_queue,expected_priority,expected_escalation,synthetic,generation_seed
EVAL-0079,web,"For context, this started earlier today. The courier scraped a parked car and left visible damage. Reference SYN-00079. Please document the next action.",property_damage,Claims Operations,high,true,true,20260813
EVAL-0217,chat,One missing item was not included in delivery SYN-00217.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0168,voice,Please explain the billing terms on invoice SYN-00168. Contact me at demo.user168@example.com.,billing,Billing Operations,medium,false,true,20260813
EVAL-0062,email,A service vehicle damaged the garage at location West Annex. Claim case SYN-00062.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0154,email,The amount on statement SYN-00154 is incorrect and I need an adjustment.,billing,Billing Operations,medium,false,true,20260813
EVAL-0223,web,"The driver marked order SYN-00223 complete, but nothing arrived.",delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0226,email,My package for order SYN-00226 was delivered to the wrong address.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0047,web,A staff member slipped and may have a sprain at the West Annex. Please escalate report SYN-00047.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0030,email,Heavy smoke is spreading through the service corridor at North Campus; evacuation is underway for report SYN-00030.,safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0181,chat,I was charged twice for invoice SYN-00181 and need a refund for the duplicate charge.,billing,Billing Operations,medium,false,true,20260813
EVAL-0132,voice,My password reset link fails every time. Account email: demo.user132@example.com. Ticket SYN-00132.,account_access,Account Support,medium,false,true,20260813
EVAL-0202,email,One missing item was not included in delivery SYN-00202.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0089,chat,The courier scraped a parked car and left visible damage. Reference SYN-00089.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0128,voice,I cannot login after changing phones. Please restore access for demo.user128@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0265,chat,"For context, this started earlier today. Please confirm who owns follow-up for reference SYN-00265. Please document the next action.",general_support,General Operations,low,false,true,20260813
EVAL-0195,web,A subscription renewal posted unexpectedly under reference SYN-00195.,billing,Billing Operations,medium,false,true,20260813
EVAL-0253,chat,Where can I find the current service hours for location Building C?,general_support,General Operations,low,false,true,20260813
EVAL-0258,email,"For context, this started earlier today. Where can I find the current service hours for location Building C? Please document the next action.",general_support,General Operations,low,false,true,20260813
EVAL-0155,web,A subscription renewal posted unexpectedly under reference SYN-00155.,billing,Billing Operations,medium,false,true,20260813
EVAL-0245,chat,The parcel for order SYN-00245 went to a neighbor and the photo confirms it.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0278,email,Where can I find the current service hours for location Building C?,general_support,General Operations,low,false,true,20260813
EVAL-0044,voice,The caller says the area is unsafe after a threat near location Harbor Office. Ticket SYN-00044 was opened.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0273,chat,Where can I find the current service hours for location Building C?,general_support,General Operations,low,false,true,20260813
EVAL-0094,email,The courier scraped a parked car and left visible damage. Reference SYN-00094.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0266,email,I need help understanding the policy connected with case SYN-00266.,general_support,General Operations,low,false,true,20260813
EVAL-0124,voice,The sign-in page loops back to verification and never lets me continue. Contact demo.user124@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0131,web,I am locked out of my account and the verification code is not arriving at demo.user131@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0204,voice,My late order SYN-00204 has not moved for three days.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0285,chat,Please confirm who owns follow-up for reference SYN-00285.,general_support,General Operations,low,false,true,20260813
EVAL-0198,email,Please explain the billing terms on invoice SYN-00198. Contact me at demo.user198@example.com.,billing,Billing Operations,medium,false,true,20260813
EVAL-0185,chat,A subscription renewal posted unexpectedly under reference SYN-00185.,billing,Billing Operations,medium,false,true,20260813
EVAL-0201,chat,"For context, this started earlier today. My package for order SYN-00201 was delivered to the wrong address. Please document the next action.",delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0035,web,A staff member slipped and may have a sprain at the North Campus. Please escalate report SYN-00035.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0121,chat,I am locked out of my account and the verification code is not arriving at demo.user121@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0067,web,A service vehicle damaged the garage at location West Annex. Claim case SYN-00067.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0043,web,"For context, this started earlier today. A caller reported a collision at the Building C. One person is hurt and incident SYN-00043 needs review. Please document the next action.",safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0174,email,The amount on statement SYN-00174 is incorrect and I need an adjustment.,billing,Billing Operations,medium,false,true,20260813
EVAL-0099,web,The courier scraped a parked car and left visible damage. Reference SYN-00099.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0076,voice,A vehicle hit my fence and caused property damage. Case SYN-00076; nobody is injured.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0111,web,I am locked out of my account and the verification code is not arriving at demo.user111@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0038,email,The caller says the area is unsafe after a threat near location Building C. Ticket SYN-00038 was opened.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0109,chat,The sign-in page loops back to verification and never lets me continue. Contact demo.user109@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0033,chat,"There is a fire at location Building C, and people may be in immediate danger. Incident SYN-00033.",safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0092,voice,A service vehicle damaged the garage at location West Annex. Claim case SYN-00092.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0219,web,My late order SYN-00219 has not moved for three days.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0146,email,I am locked out of my account and the verification code is not arriving at demo.user146@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0199,web,The amount on statement SYN-00199 is incorrect and I need an adjustment.,billing,Billing Operations,medium,false,true,20260813
EVAL-0244,voice,My late order SYN-00244 has not moved for three days.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0165,chat,"For context, this started earlier today. A subscription renewal posted unexpectedly under reference SYN-00165. Please document the next action.",billing,Billing Operations,medium,false,true,20260813
EVAL-0100,voice,"For context, this started earlier today. A mailbox was knocked over during delivery for order SYN-00100. No one was hurt. Please document the next action.",property_damage,Claims Operations,high,true,true,20260813
EVAL-0090,email,A mailbox was knocked over during delivery for order SYN-00090. No one was hurt.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0072,voice,"For context, this started earlier today. A service vehicle damaged the garage at location West Annex. Claim case SYN-00072. Please document the next action.",property_damage,Claims Operations,high,true,true,20260813
EVAL-0110,email,Two-factor authentication rejects every code for user demo.user110@example.com; case SYN-00110.,account_access,Account Support,medium,false,true,20260813
EVAL-0249,chat,My late order SYN-00249 has not moved for three days.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0196,voice,I was charged twice for invoice SYN-00196 and need a refund for the duplicate charge.,billing,Billing Operations,medium,false,true,20260813
EVAL-0085,chat,A mailbox was knocked over during delivery for order SYN-00085. No one was hurt.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0010,email,A weapon was reported near facility North Campus. This is an emergency linked to case SYN-00010.,safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0125,chat,Two-factor authentication rejects every code for user demo.user125@example.com; case SYN-00125.,account_access,Account Support,medium,false,true,20260813
EVAL-0073,chat,My gate was broken during the stop. Order SYN-00073 is connected to the report.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0192,voice,Payment for invoice SYN-00192 shows pending even though the bank approved it.,billing,Billing Operations,medium,false,true,20260813
EVAL-0087,web,A service vehicle damaged the garage at location West Annex. Claim case SYN-00087.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0152,voice,Payment for invoice SYN-00152 shows pending even though the bank approved it.,billing,Billing Operations,medium,false,true,20260813
EVAL-0220,voice,The parcel for order SYN-00220 went to a neighbor and the photo confirms it.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0177,chat,Payment for invoice SYN-00177 shows pending even though the bank approved it.,billing,Billing Operations,medium,false,true,20260813
EVAL-0145,chat,Two-factor authentication rejects every code for user demo.user145@example.com; case SYN-00145.,account_access,Account Support,medium,false,true,20260813
EVAL-0229,chat,"For context, this started earlier today. My late order SYN-00229 has not moved for three days. Please document the next action.",delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0011,web,A staff member slipped and may have a sprain at the Riverside Center. Please escalate report SYN-00011.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0259,web,I have a general question and would like someone to contact me at demo.user259@example.com.,general_support,General Operations,low,false,true,20260813
EVAL-0193,chat,"For context, this started earlier today. Please explain the billing terms on invoice SYN-00193. Contact me at demo.user193@example.com. Please document the next action.",billing,Billing Operations,medium,false,true,20260813
EVAL-0237,chat,One missing item was not included in delivery SYN-00237.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0107,web,My password reset link fails every time. Account email: demo.user107@example.com. Ticket SYN-00107.,account_access,Account Support,medium,false,true,20260813
EVAL-0032,voice,The caller says the area is unsafe after a threat near location West Annex. Ticket SYN-00032 was opened.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0209,chat,My late order SYN-00209 has not moved for three days.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0254,email,I have a general question and would like someone to contact me at demo.user254@example.com.,general_support,General Operations,low,false,true,20260813
EVAL-0097,chat,A service vehicle damaged the garage at location West Annex. Claim case SYN-00097.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0054,email,The courier scraped a parked car and left visible damage. Reference SYN-00054.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0224,voice,My late order SYN-00224 has not moved for three days.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0264,voice,I have a general question and would like someone to contact me at demo.user264@example.com.,general_support,General Operations,low,false,true,20260813
EVAL-0225,chat,The parcel for order SYN-00225 went to a neighbor and the photo confirms it.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0262,email,Please update the contact name on ticket SYN-00262. This is not urgent.,general_support,General Operations,low,false,true,20260813
EVAL-0113,chat,I cannot login after changing phones. Please restore access for demo.user113@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0216,voice,My package for order SYN-00216 was delivered to the wrong address.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0060,voice,A mailbox was knocked over during delivery for order SYN-00060. No one was hurt.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0257,chat,Please update the contact name on ticket SYN-00257. This is not urgent.,general_support,General Operations,low,false,true,20260813
EVAL-0287,web,Please update the contact name on ticket SYN-00287. This is not urgent.,general_support,General Operations,low,false,true,20260813
EVAL-0239,web,My late order SYN-00239 has not moved for three days.,delivery_issue,Delivery Support,medium,false,true,20260813
